Column1,X,GDate,Value,Index,Province,Province_Name,Province_Code,GAS,Waves,COVID_Status,Year,Month,Day,Real_Value,Date,Days,Status
1,1,3/14/2019,297.3835,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,14,0.02973835,3/14/2019,1,0
2,2,3/15/2019,243.505,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,15,0.0243505,3/15/2019,2,0
3,3,3/16/2019,286.856,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,16,0.0286856,3/16/2019,3,0
4,4,3/17/2019,NA,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,17,,3/17/2019,4,0
5,5,3/18/2019,275.744,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,18,0.0275744,3/18/2019,5,0
6,6,3/19/2019,327.1285,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,19,0.03271285,3/19/2019,6,0
7,7,3/20/2019,299.042,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,20,0.0299042,3/20/2019,7,0
8,8,3/21/2019,290.963,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,21,0.0290963,3/21/2019,8,0
9,9,3/22/2019,315.205,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,22,0.0315205,3/22/2019,9,0
10,10,3/23/2019,304.411,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,23,0.0304411,3/23/2019,10,0
11,11,3/24/2019,259.5683333,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,24,0.025956833,3/24/2019,11,0
12,12,3/25/2019,NA,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,25,,3/25/2019,12,0
13,13,3/26/2019,236.409,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,26,0.0236409,3/26/2019,13,0
14,14,3/27/2019,262.764,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,27,0.0262764,3/27/2019,14,0
15,15,3/28/2019,290.036,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,28,0.0290036,3/28/2019,15,0
16,16,3/29/2019,303.1805,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,29,0.03031805,3/29/2019,16,0
17,17,3/30/2019,287.368,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,30,0.0287368,3/30/2019,17,0
18,18,3/31/2019,NA,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,3,31,,3/31/2019,18,0
19,19,4/1/2019,311.628,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,1,0.0311628,4/1/2019,19,0
20,20,4/2/2019,303.223,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,2,0.0303223,4/2/2019,20,0
21,21,4/3/2019,274.215,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,3,0.0274215,4/3/2019,21,0
22,22,4/4/2019,290.683,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,4,0.0290683,4/4/2019,22,0
23,23,4/5/2019,289.185,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,5,0.0289185,4/5/2019,23,0
24,24,4/6/2019,290.388,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,6,0.0290388,4/6/2019,24,0
25,25,4/7/2019,259.34,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,7,0.025934,4/7/2019,25,0
26,26,4/8/2019,297.1755,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,8,0.02971755,4/8/2019,26,0
27,27,4/9/2019,274.22,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,9,0.027422,4/9/2019,27,0
28,28,4/10/2019,296.8295,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,10,0.02968295,4/10/2019,28,0
29,29,4/11/2019,320.05,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,11,0.032005,4/11/2019,29,0
30,30,4/12/2019,318.402,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,12,0.0318402,4/12/2019,30,0
31,31,4/13/2019,316.738,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,13,0.0316738,4/13/2019,31,0
32,32,4/14/2019,307.2545,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,14,0.03072545,4/14/2019,32,0
33,33,4/15/2019,276.4195,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,15,0.02764195,4/15/2019,33,0
34,34,4/16/2019,309.726,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,16,0.0309726,4/16/2019,34,0
35,35,4/17/2019,289.793,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,17,0.0289793,4/17/2019,35,0
36,36,4/18/2019,279.328,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,18,0.0279328,4/18/2019,36,0
37,37,4/19/2019,318.08,CO1_W1_NOCOVID_2019,01_Tehran,Tehran,29_TE,CO1,W1,0_NOCOVID,2019,4,19,0.031808,4/19/2019,37,0
